timestamp,text,overall_sentiment,top_emotion,confidence
2026-02-05 00:00:40,it was a very beautiful day,POSITIVE 😊,joy,99.14
2026-02-05 00:08:28,it was a very beautiful day,POSITIVE 😊,joy,99.14
2026-02-06 20:23:55,"“The product quality is good, but the customer service was very disappointing",NEGATIVE 😞,sadness,90.90
2026-02-06 20:23:59,"“The product quality is good, but the customer service was very disappointing",NEGATIVE 😞,sadness,90.90
2026-02-06 20:49:37,The meeting started at 10 AM and ended at 11 AM.,NEUTRAL 😐,neutral,76.44
2026-02-06 21:06:18,the movie was good but it didn't get enough attention as it deserve.,NEGATIVE 😞,sadness,87.53
2026-02-06 21:10:00,"nice day
",POSITIVE 😊,joy,89.12
2026-02-06 21:23:38,The movie was good but the ending was disappointing,NEGATIVE 😞,sadness,93.91
2026-02-06 21:31:15,the movie was good but the ending was disappointing,NEGATIVE 😞,sadness,90.60
2026-02-06 21:47:23,the movie was good but the ending was disappointing.,NEGATIVE 😞,sadness,89.86
2026-02-06 21:51:59,"The system completed the task correctly and on time, without any noticeable issues.",NEUTRAL 😐,neutral,83.56
2026-02-06 21:53:47,"The process works as intended, though there is room for improvement.",NEUTRAL 😐,neutral,93.96
2026-02-06 22:08:55,"Thanks for the amazing customer support, I only waited three hours.",NEUTRAL 😐,neutral,49.63
2026-02-06 22:28:49,"Oh great, another meeting that could have been an email.",POSITIVE 😊,surprise,72.33
2026-02-06 22:29:59,"“Yeah, that software update definitely improved everything",NEUTRAL 😐,neutral,92.51
2026-02-06 22:30:25,“Fantastic job crashing the system right before the deadline.,POSITIVE 😊,joy,82.42
2026-02-06 22:31:12,I absolutely love how the app freezes every five minutes.,POSITIVE 😊,joy,60.95
2026-02-06 22:33:13,"The system completed the task correctly and on time, without any noticeable issues
",NEUTRAL 😐,neutral,87.60
2026-02-28 13:34:51,"what a beautiful day !
",POSITIVE 😊,joy,94.86
2026-02-28 13:55:29,"i really enjoyed using this application,it works smoothly and make my work easier .",POSITIVE 😊,joy,99.44
2026-02-28 14:31:05,This is one of the best experiences I have ever had.,POSITIVE 😊,joy,84.21
2026-02-28 14:57:17,the food was delicious but i'm not satisfied on their customer service ,NEGATIVE 😞,sadness,31.01
2026-02-28 15:11:02,"The service was slow and frustrating, and I felt completely disappointed with the overall experience.",NEGATIVE 😞,sadness,92.16
2026-02-28 16:56:41,"I really appreciate the effort behind this system, but sometimes the results feel confusing and I wish it were a little more consistent",NEGATIVE 😞,sadness,41.00
2026-02-28 17:57:04,"I absolutely love this product, it works perfectly.",POSITIVE 😊,joy,95.57
2026-02-28 17:57:04,The service was terrible and I am very disappointed.,NEGATIVE 😞,fear,62.64
2026-02-28 17:57:04,I feel nervous about tomorrow's presentation.,NEGATIVE 😞,fear,99.43
2026-02-28 17:57:04,"The movie was okay, nothing special but not bad either.",NEUTRAL 😐,neutral,44.02
2026-02-28 17:57:04,"Wow, I did not expect such an amazing surprise!",POSITIVE 😊,surprise,97.28
2026-02-28 17:57:04,This experience made me really angry and frustrated.,NEGATIVE 😞,anger,98.63
2026-02-28 17:57:04,I feel sad after hearing that news.,NEGATIVE 😞,sadness,98.43
2026-02-28 17:57:04,The overall performance was acceptable and average.,NEUTRAL 😐,neutral,63.30
2026-02-28 17:57:04,"Oh great, another delay… just what I needed.",POSITIVE 😊,surprise,63.27
2026-02-28 17:57:04,The customer support team was helpful and kind.,NEUTRAL 😐,neutral,64.75
